"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 23:58:09 GMT 2022","Fri Oct 14 23:58:10 GMT 2022","1824","webkit","example.spec.ts","","","","basic test without POM",""
"skipped","Fri Oct 14 23:57:30 GMT 2022","Fri Oct 14 23:57:30 GMT 2022","3","firefox","lighthouse.spec.ts","","","","Accessibility test",""
"passed","Fri Oct 14 23:57:17 GMT 2022","Fri Oct 14 23:57:21 GMT 2022","3759","firefox","dataAPIExample.spec.ts","","","","Login UI - Data From JSON",""
"failed","Fri Oct 14 23:56:26 GMT 2022","Fri Oct 14 23:56:26 GMT 2022","729","chromium","dataAPIExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:58:10 GMT 2022","Fri Oct 14 23:58:13 GMT 2022","2356","webkit","example.spec.ts","","","","Get Started doc intro",""
"passed","Fri Oct 14 23:57:43 GMT 2022","Fri Oct 14 23:57:48 GMT 2022","4854","webkit","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:56:21 GMT 2022","Fri Oct 14 23:56:23 GMT 2022","2061","chromium","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Fri Oct 14 23:57:28 GMT 2022","Fri Oct 14 23:57:29 GMT 2022","1971","firefox","example.spec.ts","","","","Get Started doc intro",""
"passed","Fri Oct 14 23:56:34 GMT 2022","Fri Oct 14 23:56:35 GMT 2022","1046","chromium","example.spec.ts","","","","Get Started doc intro",""
"passed","Fri Oct 14 23:56:35 GMT 2022","Fri Oct 14 23:56:53 GMT 2022","18131","chromium","lighthouse.spec.ts","","","","Accessibility test",""
"passed","Fri Oct 14 23:57:31 GMT 2022","Fri Oct 14 23:57:31 GMT 2022","301","webkit","api.example.spec.ts","","","","get inventory",""
"failed","Fri Oct 14 23:57:54 GMT 2022","Fri Oct 14 23:57:55 GMT 2022","1322","webkit","dataAPIExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:56:17 GMT 2022","Fri Oct 14 23:56:17 GMT 2022","331","chromium","api.example.spec.ts","","","","get inventory",""
"passed","Fri Oct 14 23:56:54 GMT 2022","Fri Oct 14 23:56:55 GMT 2022","281","firefox","api.example.spec.ts","","","","get inventory",""
"passed","Fri Oct 14 23:57:04 GMT 2022","Fri Oct 14 23:57:06 GMT 2022","2570","firefox","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Fri Oct 14 23:57:56 GMT 2022","Fri Oct 14 23:57:59 GMT 2022","2813","webkit","dataAPIExample.spec.ts","","","","Login UI - Data From JSON",""
"passed","Fri Oct 14 23:58:00 GMT 2022","Fri Oct 14 23:58:06 GMT 2022","5958","webkit","dataClassExample.spec.ts","","","","API SignUp | Login UI",""
"skipped","Fri Oct 14 23:58:13 GMT 2022","Fri Oct 14 23:58:13 GMT 2022","3","webkit","lighthouse.spec.ts","","","","Accessibility test",""
"passed","Fri Oct 14 23:56:32 GMT 2022","Fri Oct 14 23:56:33 GMT 2022","1142","chromium","dataClassExample.spec.ts","","","","Login UI - Data From JSON",""
"passed","Fri Oct 14 23:57:22 GMT 2022","Fri Oct 14 23:57:24 GMT 2022","1769","firefox","dataClassExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:57:48 GMT 2022","Fri Oct 14 23:57:51 GMT 2022","3018","webkit","api.ui.spec.ts","","","","API: SignUp, Create Task | UI: Login, Find a task",""
"passed","Fri Oct 14 23:56:33 GMT 2022","Fri Oct 14 23:56:34 GMT 2022","1185","chromium","example.spec.ts","","","","basic test without POM",""
"passed","Fri Oct 14 23:56:56 GMT 2022","Fri Oct 14 23:57:04 GMT 2022","7882","firefox","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:56:18 GMT 2022","Fri Oct 14 23:56:21 GMT 2022","2347","chromium","api.ui.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:56:27 GMT 2022","Fri Oct 14 23:56:29 GMT 2022","1511","chromium","dataAPIExample.spec.ts","","","","Login UI - Data From JSON",""
"passed","Fri Oct 14 23:57:26 GMT 2022","Fri Oct 14 23:57:28 GMT 2022","1684","firefox","example.spec.ts","","","","basic test without POM",""
"passed","Fri Oct 14 23:57:24 GMT 2022","Fri Oct 14 23:57:26 GMT 2022","1675","firefox","dataClassExample.spec.ts","","","","Login UI - Data From JSON",""
"failed","Fri Oct 14 23:57:13 GMT 2022","Fri Oct 14 23:57:17 GMT 2022","3725","firefox","dataAPIExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:56:30 GMT 2022","Fri Oct 14 23:56:32 GMT 2022","1557","chromium","dataClassExample.spec.ts","","","","API SignUp | Login UI",""
"passed","Fri Oct 14 23:58:06 GMT 2022","Fri Oct 14 23:58:09 GMT 2022","2131","webkit","dataClassExample.spec.ts","","","","Login UI - Data From JSON",""
